VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,"1/1/2018, 2:44:41 AM","1/1/2018, 3:00:32 AM",3,3.9,1,N,236,152,1,14.5,0.5,0.5,0,0,0.3,15.8,-,-
1,"1/1/2018, 2:15:17 AM","1/1/2018, 2:16:57 AM",1,0.4,1,N,236,236,1,3.5,0.5,0.5,1.4,0,0.3,6.2,-,-
1,"1/1/2018, 2:22:59 AM","1/1/2018, 2:29:11 AM",1,1,1,N,237,262,1,6,0.5,0.5,1.45,0,0.3,8.75,-,-
1,"1/1/2018, 2:31:48 AM","1/1/2018, 2:35:38 AM",1,0.7,1,N,262,141,1,5,0.5,0.5,2,0,0.3,8.3,-,-
1,"1/1/2018, 2:38:31 AM","1/1/2018, 2:43:42 AM",1,1.3,1,N,237,229,2,6,0.5,0.5,0,0,0.3,7.3,-,-
1,"1/1/2018, 2:47:00 AM","1/1/2018, 2:50:36 AM",1,0.8,1,N,162,141,1,4.5,0.5,0.5,1.45,0,0.3,7.25,-,-
1,"1/1/2018, 2:51:47 AM","1/1/2018, 3:10:40 AM",1,3.1,1,N,141,79,1,14,0.5,0.5,3.8,0,0.3,19.1,-,-
1,"1/1/2018, 2:23:47 AM","1/1/2018, 2:33:45 AM",2,2,1,N,142,236,1,9.5,0.5,0.5,3,0,0.3,13.8,-,-
1,"1/1/2018, 2:36:51 AM","1/1/2018, 3:09:27 AM",1,4,1,N,236,113,2,21.5,0.5,0.5,0,0,0.3,22.8,-,-
1,"1/1/2018, 2:21:36 AM","1/1/2018, 2:41:16 AM",1,3.1,1,N,249,87,2,15,0.5,0.5,0,0,0.3,16.3,-,-
1,"1/1/2018, 2:58:04 AM","1/1/2018, 3:07:22 AM",1,3.5,1,N,209,107,1,12.5,0.5,0.5,2.75,0,0.3,16.55,-,-
1,"1/1/2018, 2:06:02 AM","1/1/2018, 2:36:45 AM",2,1.4,1,N,142,48,1,18,0.5,0.5,3.85,0,0.3,23.15,-,-
1,"1/1/2018, 2:46:07 AM","1/1/2018, 2:49:47 AM",3,0.7,1,N,50,48,1,4.5,0.5,0.5,1.45,0,0.3,7.25,-,-
1,"1/1/2018, 2:53:32 AM","1/1/2018, 2:56:34 AM",1,0.6,1,N,48,50,2,4.5,0.5,0.5,0,0,0.3,5.8,-,-
1,"1/1/2018, 2:59:36 AM","1/1/2018, 3:23:58 AM",1,4.5,1,N,143,42,1,19,0.5,0.5,6,0,0.3,26.3,-,-
1,"1/1/2018, 2:57:02 AM","1/1/2018, 3:10:16 AM",1,1.8,1,N,151,236,1,10,0.5,0.5,1.5,0,0.3,12.8,-,-
1,"1/1/2018, 2:33:21 AM","1/1/2018, 2:49:27 AM",1,1.1,1,N,162,170,1,10.5,0.5,0.5,1.5,0,0.3,13.3,-,-
1,"1/1/2018, 2:23:51 AM","1/1/2018, 2:51:40 AM",2,6,1,N,107,223,1,22.5,0.5,0.5,5,0,0.3,28.8,-,-
1,"1/1/2018, 2:33:29 AM","1/1/2018, 2:40:57 AM",1,1.2,1,N,141,237,2,7,0.5,0.5,0,0,0.3,8.3,-,-
1,"1/1/2018, 2:42:45 AM","1/1/2018, 2:54:50 AM",1,1.2,1,N,237,161,2,9,0.5,0.5,0,0,0.3,10.3,-,-
1,"1/1/2018, 2:22:32 AM","1/1/2018, 2:53:57 AM",2,5.5,1,N,113,239,1,22.5,0.5,0.5,4.75,0,0.3,28.55,-,-
1,"1/1/2018, 2:57:15 AM","1/1/2018, 3:06:59 AM",2,2,1,N,239,236,1,9,0.5,0.5,1.03,0,0.3,11.33,-,-
2,"1/1/2018, 2:20:33 AM","1/1/2018, 2:25:36 AM",1,1.16,1,N,166,116,1,6,0.5,0.5,2.19,0,0.3,9.49,-,-
2,"1/1/2018, 2:31:26 AM","1/1/2018, 3:08:29 AM",1,13.51,1,N,116,33,1,41,0.5,0.5,8.46,0,0.3,52.71,-,-
1,"1/1/2018, 2:13:32 AM","1/1/2018, 2:54:16 AM",1,3.1,1,N,237,170,1,23.5,0.5,0.5,1.2,0,0.3,26,-,-
